고수요 보완형,고수요 유지관리형,안정 관리형,안정 모니터링형,여유·거점 활용형,잠재 취약형,최소 인프라 보완형,평균 관리형,합계,kmeans_cluster_label,안정형,우선 보완형,인력 취약형,접근성 보완형,최우선 개입형,모니터링,안정,우선 지원,최우선 지원
=== supply_demand_matrix_3x3 교차표 ===,,,,,,,,,,,,,,,,,,
24,0,1,1,1,8,0,58,93,고수요 유지관리 군집,,,,,,,,,
0,0,0,0,0,3,11,0,14,기초 인프라 보완 군집,,,,,,,,,
4,1,9,6,6,1,4,6,37,상대적 안정 군집,,,,,,,,,
0,0,0,0,0,2,0,0,2,수요 대비 공급 취약 군집,,,,,,,,,
28,1,10,7,7,14,15,64,146,합계,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,=== policy_strategy_group 교차표 ===,,,,,,,,,,,,,,,,,
,0,,,,,,,93,고수요 유지관리 군집,26,27,33,2,5,,,,
,0,,,,,,,14,기초 인프라 보완 군집,0,4,1,3,6,,,,
,1,,,,,,,37,상대적 안정 군집,18,3,10,3,2,,,,
,0,,,,,,,2,수요 대비 공급 취약 군집,0,0,0,0,2,,,,
,1,,,,,,,146,합계,44,34,44,8,15,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,=== priority_level 교차표 ===,,,
,,,,,,,,93,고수요 유지관리 군집,,,,,,72,7,9,5
,,,,,,,,14,기초 인프라 보완 군집,,,,,,4,0,4,6
,,,,,,,,37,상대적 안정 군집,,,,,,11,23,1,2
,,,,,,,,2,수요 대비 공급 취약 군집,,,,,,0,0,0,2
,,,,,,,,146,합계,,,,,,87,30,14,15
,,,,,,,,,,,,,,,,,,
