시군구명,시군구코드,resultCode,resultMsg,응답건수,비고
창원시 의창구,48121,success,성공,11,
창원시 성산구,48123,success,성공,14,
창원시 마산합포구,48125,success,성공,10,
창원시 마산회원구,48127,success,성공,7,
창원시 진해구,48129,success,성공,6,
진주시,48170,success,성공,21,
통영시,48220,success,성공,5,
사천시,48240,success,성공,9,
김해시,48250,success,성공,23,
밀양시,48270,success,성공,8,
거제시,48310,success,성공,10,
양산시,48330,success,성공,13,
의령군,48720,success,성공,3,
함안군,48730,success,성공,5,
창녕군,48740,success,성공,8,
고성군,48820,success,성공,4,
남해군,48840,success,성공,6,
하동군,48850,success,성공,5,
산청군,48860,success,성공,7,
함양군,48870,success,성공,4,
거창군,48880,success,성공,7,
합천군,48890,success,성공,6,
